Key,SourceString
WELCOME PACKET · mimeograph purple,WELCOME PACKET · mimeograph purple
WELCOME TO THE FIFTY-EIGHT! Quiet hours are posted by the clocks and we do mean them. [ballpoint: we really do],WELCOME TO THE FIFTY-EIGHT! Quiet hours are posted by the clocks and we do mean them. [ballpoint: we really do]
"If a door is closed, it is closed for a reason and the reason is written on it. Make yourself at home. You already are.","If a door is closed, it is closed for a reason and the reason is written on it. Make yourself at home. You already are."
"[ballpoint, smaller] welcome home","[ballpoint, smaller] welcome home"
"FIRE MARSHAL REPORT · 1977, photocopy","FIRE MARSHAL REPORT · 1977, photocopy"
"Cause: undetermined, consistent with deliberate ignition at the tape vault. Total loss of stored media.","Cause: undetermined, consistent with deliberate ignition at the tape vault. Total loss of stored media."
Note of record: transmitting equipment found energized at time of entry and could not be de-energized by responding personnel.,Note of record: transmitting equipment found energized at time of entry and could not be de-energized by responding personnel.
Referred to station engineer. No further action.,Referred to station engineer. No further action.
"A FAN LETTER · ruled paper, careful loops","A FAN LETTER · ruled paper, careful loops"
"Dear Chum, my brother says you are just a puppet but I know a secret which is that everybody is a puppet of somebody","Dear Chum, my brother says you are just a puppet but I know a secret which is that everybody is a puppet of somebody"
and it only matters if the hands are kind. Your hands seem kind.,and it only matters if the hands are kind. Your hands seem kind.
"Please wave at camera one on my birthday which is the 9th. Your friend, Iris Bell, age 8 and one quarter.","Please wave at camera one on my birthday which is the 9th. Your friend, Iris Bell, age 8 and one quarter."
PEAK ASSET DOSSIER · CHUM-AF-1974-P,PEAK ASSET DOSSIER · CHUM-AF-1974-P
PEAK PRODUCTION ASSET DOSSIER. FILE CHUM-AF-1974-P (REV.). STATUS: ACTIVE / HAZARDOUS.,PEAK PRODUCTION ASSET DOSSIER. FILE CHUM-AF-1974-P (REV.). STATUS: ACTIVE / HAZARDOUS.
Rebuilt from the 1974 mascot body and salvaged studio materials. Entirely manually operated. Requires minimum three puppeteers for full performance.,Rebuilt from the 1974 mascot body and salvaged studio materials. Entirely manually operated. Requires minimum three puppeteers for full performance.
Handwritten beneath: he works his own jaw. Count the hands. Report all sightings to Peak Security. HE REMEMBERS THE AUDIENCE.,Handwritten beneath: he works his own jaw. Count the hands. Report all sightings to Peak Security. HE REMEMBERS THE AUDIENCE.
