id,unit,room,prop,tier,class,interactable,gate_verb,text_key,dims_m,dims_src,placement_uu,source_candidate,licence,canon,notes_open
3.9-04,3.9,BENCH ROOM,ACCESSION LEDGER (D03; the paper economy's altar; the T5 three-entry decision; GEN stamps),INTERACTABLE,readable D03 · commit/sign,YES,T1 · commit/sign,GT 85-87,green-columned ledger 0.35 x 0.25 x 0.04; dock body REF 0.45,RW / REF,"(820, -1620, 90) [Godot (8.2, 0.9, -16.2)]",M_Paper 4K (readable); dock family,Bespoke,WB 1019-1022; PP D03; RB keynote 'the decision LEDGER with D03'; RI s8,"The room's one handled L, and an I"
3.9-05,3.9,BENCH ROOM,"LEDGER MARGIN (credit the insight, 'per V. Keys')",INTERACTABLE,part of the ledger object,YES,T2+ · credit,"GT 65, 694",dock body REF 0.45,REF,"(740, -1520, 90) [Godot (7.4, 0.9, -15.2)]",fold into the ledger asset in the port,Bespoke,WB 1056-1059; GT 65; RB PATCH BAY keynote 'the credit margin',RB puts 'the credit margin' in PATCH BAY: OPEN 3.16-C
3.9-06,3.9,BENCH ROOM,SPECTROGRAM dock (the audio bench; pull the sidebands; Asset 1 extraction),INTERACTABLE,dock,YES,T2 · operate,GT 634-636,dock body REF 0.45; RW spectrum analyser 0.4 x 0.3 x 0.2,REF / RW,"(1060, -1720, 90) [Godot (10.6, 0.9, -17.2)]",Poly Haven search 'oscilloscope' (verify id) as donor; M_Phosphor trace,CC0 / Bespoke,WB 1012-1015; RI s8 'Audio bench + spectrogram',
3.9-07,3.9,BENCH ROOM,1977 DOCK (thread the fire tape; watch it again),INTERACTABLE,dock,YES,T3+ · operate,"GT 128-129, 665",dock body REF 0.45,REF,"(780, -1840, 90) [Godot (7.8, 0.9, -18.4)]",dock family,Bespoke,WB 392-396; fire_tape_dock.gd,RB FIRE CORRIDOR keynote names 'the FIRE TAPE DOCK' there: OPEN 3.9-B
3.9-08,3.9,BENCH ROOM,SEANCE REEL dock (the impossible tape; the jog/shuttle seance verb from T4),INTERACTABLE,dock,YES,T4 · operate,GT 608-609,dock body REF 0.45; RW jog wheel 0.1 dia,REF / RW,"(780, -1720, 90) [Godot (7.8, 0.9, -17.2)]",dock family + jog wheel,Bespoke,WB 397-401; seance_dock.gd; RI s8 'Jog/shuttle wheel',RB SCENE DOCK keynote names 'the SEANCE DOCK' there: OPEN 3.20-A
3.9-09,3.9,BENCH ROOM,"Asset rack / shelf (collected Sign-Off assets rack visibly: verse transcription, ID cart, script, card)",DRESSING,DYN,NO,RI s8: DYN · inspect,none,shelf 1.2 x 0.25 at 2.35 high (REF position),REF,"(900, -1882, 235) [Godot (9.0, 2.35, -18.82)]",Bespoke shelf; 'reads amber against dust' [AB s7],Bespoke,WB 1016-1018; RI s8 'Asset shelf'; AB s7,
3.9-10,3.9,BENCH ROOM,"Splice block, blades, leader in surgical order (THE SPLICING BLOCK: joined takes yield a daily)",INTERACTABLE,operate,YES,T1 · operate,GT 548,RW 2-inch quad splicing block 0.3 x 0.1 x 0.05; razor blades; leader reel 0.15 dia,RW,on the bench top,Bespoke; steel M_Enamel-free brushed,Bespoke,RB keynote 'splice tools in surgical order'; RI s8; GT 548,OPEN 3.9-C: own prompt or a bench mode
3.9-11,3.9,BENCH ROOM,"Splice blade log: blades changed weekly for years, then a four-month gap in 1977, then weekly in a different hand",LORE-AMBIENT,"HF, T6",NO,never prompts,none,sheet 0.216 x 0.279 on a clip,RW,beside the splice block,M_Paper,Bespoke,"LL BENCH ROOM [HF, T6]",
3.9-12,3.9,BENCH ROOM,L.M. scratched shallow under the bench lip where only a cleaner's hand would find it,LORE-AMBIENT,T3,NO,never prompts,none,letters 0.02,RW,under the bench lip,normal-map detail only (PLAN R.2),Bespoke,LL BENCH ROOM [T3],
3.9-13,3.9,BENCH ROOM,Task lamp (truth over the bench; one warm task lamp),DRESSING,practical,NO,,none,"architect lamp arm 0.8, shade 0.15 dia",RW,clamped to the bench's -X end proposed,Fab search 'desk lamp vintage'; M_Practical; true bulb,Fab Standard,RB BENCH ROOM 'Task lamp truth over the bench'; AB s7,EV OPEN
3.9-14,3.9,BENCH ROOM,Bake oven (timed thermal holds; Destroy-path tool from T4),INTERACTABLE,operate (RI-only),OPEN,RI s8: T1 · operate,none,lab oven 0.5 x 0.5 x 0.6,RW,against the +X wall proposed,Fab search 'laboratory oven',Fab Standard,RI s8,OPEN 3.9-C
3.9-15,3.9,BENCH ROOM,"TBC unit (the photosensitivity device, diegetic)",INTERACTABLE,operate (RI-only),OPEN,RI s8: T1 · operate,none,19-inch 2U 0.48 x 0.09 x 0.4,RW,rack under the monitor,Bespoke rack unit,Bespoke,RI s8; accessibility matrix (photosensitivity) via PLAN s1,OPEN 3.9-C
3.9-16,3.9,BENCH ROOM,Waveform + vector scopes (the zero-loss anomaly is read here),DRESSING,inspect · phosphor,NO,RI s8: T1 · inspect,none,0.22 x 0.13 x 0.45 each (Tektronix class),RW,beside the monitor,Poly Haven search 'oscilloscope' (verify id); M_Phosphor,CC0,RI s8,
3.9-17,3.9,BENCH ROOM,"Bench notepad (seance questions, five canonical; T4 write)",INTERACTABLE,write (RI-only),OPEN,RI s8: T4 · write,none,pad 0.15 x 0.23,RW,bench top,M_Paper,Bespoke,RI s8,OPEN 3.9-C
3.9-18,3.9,BENCH ROOM,Glove box + lamp (ritual props; the gloves are the player's face),DRESSING,,NO,RI s8: T1 · use,none,box 0.25 x 0.12 x 0.1,RW,bench top,Bespoke; cotton gloves cloth,Bespoke,RI s8; GT 499 (Merle on the gloves),
3.9-19,3.9,BENCH ROOM,CAM 2 · STACKS monitor on the bench room's -Y (north) wall,INTERACTABLE,monitor · read,OPEN,RI GLOBAL: T2 · read,Monitors.csv 'CAM 2 · STACKS',CRT 0.5 x 0.45,REF / RW,"(720, -1318, 170) [Godot (7.2, 1.7, -13.18)]",crt_shell brief; M_Phosphor,Bespoke,Monitors.csv; WB 316-324,OPEN 0-I
3.9-20,3.9,BENCH ROOM,The impossible-tapes crate (lives here from T4.1),INTERACTABLE,pickup · EVT (see ENTRY),YES,T4 · BEN,GT 379,see ENTRY,REF,at the bench after delivery - position OPEN,see ENTRY,Bespoke,RI GLOBAL 'The impossible-tapes crate',rooms_also: ENTRY
3.9-21,3.9,BENCH ROOM,Surfaces: 6 x 6; paper stock and ledger green dominate,SURFACE,,NO,,none,36 m2 floor,REF (Rooms.csv),,Megascans linoleum (MI_BenchRoom_Floor); painted plaster (MI_BenchRoom_Wall) tinted toward ledger green #596B52 [AB s4],Fab Standard,Rooms.csv; AB s7 BENCH,Drift FORBIDDEN here [RB]
3.10-01,3.10,CLIMATE,"THE DEGAUSSER (burns dailies = strike removal; the archive on the Destroy path; humming coil, felt-lined throat)",INTERACTABLE,hero,YES,T1 · inspect; T4 · operate,"GT 96-97, 159",REF 1.2 x 0.9 x 0.8 + coil ring 0.6 dia at 0.42; RW bulk tape eraser 0.4 x 0.3 x 0.2 (tabletop) or a floor unit 0.6 x 0.5 x 1.0,REF / RW,"(1425, -1760, 55) [Godot (14.25, 0.55, -17.6)]",Bespoke; hazard stripe OCHRE (REF) - warning red is reserved [AB s4]; coil hum 120/240 Hz ToneEmitter [WB 848-853],Bespoke,WB 809-855; RI s7; GT 96-97,OPEN 3.10-A scale (reference is cabinet-sized)
3.10-02,3.10,CLIMATE,Reel racks (nightly retrieval objectives; the errand that baits the T3 chase),INTERACTABLE,take (RI-only),OPEN,RI s7: T1 · take,none,steel shelving 0.9 x 0.45 x 1.8,RW,-X wall proposed,Megascans 'metal shelving' (starter set),Fab Standard,RI s7,OPEN 3.10-B (cap 1 already spent on the degausser)
3.10-03,3.10,CLIMATE,"Gauges with handwritten ranges (green gauge glow, grille shadows)",DRESSING,practical (phosphor as data) · ambient host,NO,,none,gauge 0.1 dia,RW,the transmitter wall (+X) proposed,Fab search 'pressure gauge'; needle red allowed? no - warning red is slates/tallies/breaker only [AB s4]; glow M_Phosphor,Fab Standard,"RB CLIMATE keynote; LB GRAMMAR 'phosphor illuminates data, never rooms'",
3.10-04,3.10,CLIMATE,Gauge nearest the transmitter wall wears a heat crack; its twin does not,LORE-AMBIENT,HF,NO,never prompts,none,crack 0.05,RW,the +X gauge,normal/albedo crack,Bespoke,LL CLIMATE [HF],
3.10-05,3.10,CLIMATE,One needle's rest point drifts,DRESSING,drift,NO,,none,needle 0.05,RW,one gauge,rotation state,Bespoke,RB CLIMATE drift,
3.10-06,3.10,CLIMATE,Filter log ending mid-1977 and resuming with no explanation and better handwriting,LORE-AMBIENT,"HF, T6",NO,never prompts,none,clipboard 0.23 x 0.32,RW,hung on the HVAC unit,M_Paper; two hands,Bespoke,"LL CLIMATE [HF, T6]; RB CLIMATE keynote",
3.10-07,3.10,CLIMATE,"Maintenance tag signed by three initial-sets across one decade, the third only after 1974",LORE-AMBIENT,T4,NO,never prompts,none,tag 0.07 x 0.14 on wire,RW,the HVAC unit,M_Paper card on wire,Bespoke,LL CLIMATE [T4],
3.10-08,3.10,CLIMATE,Hygrometer + thermograph (drum recorder; one night's trace shows a spike no thermostat explains),DRESSING,inspect,NO,RI s7: T1 · inspect,none,hygrothermograph 0.3 x 0.2 x 0.2,RW,shelf,Bespoke; drum chart M_Paper,Bespoke,RI s7,
3.10-09,3.10,CLIMATE,"HVAC / compressor unit (the building's lungs; bed: the deepest hum, compressor cycles; the hum settles a cent flat when ritual holds)",DRESSING,,NO,,none,air handler 1.2 x 0.8 x 1.5; grilles 0.6 x 0.3,RW,+X/-Y corner proposed,Fab search 'hvac unit industrial'; Megascans 'riveted metal panel',Fab Standard,"RB CLIMATE personality, bed, web",
3.10-10,3.10,CLIMATE,Bake supplies (feed the oven workflow at the bench),DRESSING,,NO,RI s7: T1 · use,none,boxes 0.3,RW,shelf,Fab 'cardboard boxes' starter,Fab Standard,RI s7,
3.10-11,3.10,CLIMATE,"Silica bins (one holds a single small mitten, desiccated)",DRESSING,lore host (RI-only),NO,RI s7: T1 · inspect,none,bin 0.4 x 0.3 x 0.3; mitten 0.15,RW,floor,Bespoke bins; mitten under the M_Wool family,Bespoke,RI s7,Rhymes with the CORRIDOR memo; never stated. OPEN 3.10-C tier
3.10-12,3.10,CLIMATE,Surfaces: 4.5 x 6; grille shadows,SURFACE,,NO,,none,27 m2 floor,REF (Rooms.csv),,Megascans industrial concrete (MI_Climate_Floor); painted brick,Fab Standard,Rooms.csv,
3.11-01,3.11,TRANSMITTER HALL,"THE TRANSMITTER: rack cabinets x4 along the +X wall (vent slats, dial gauges, one warm pilot lamp each, the big handle); the hum floor 55/110 Hz",INTERACTABLE,hero (RI: inspect only),OPEN,RI s17: T3 · inspect,none,REF 0.9 x 2.4 x 0.7 each; RW UHF transmitter bay 2.0 high x 0.6-0.9 x 0.8,REF / RW,"(2040, -200, 0) [Godot (20.4, 0.0, -2.0)]","Fab search 'electrical cabinet industrial' / 'server rack vintage'; bespoke gauges; Megascans 'riveted metal panel', 'steel plate'",Fab Standard / Bespoke,"prop_kit.gd transmitter_cabinet 420-476; WB 1218-1227, 918-926; RB TRANSMITTER HALL keynote; RI s17","Cabinets at Godot z -2.0, -4.5, -7.0, -9.5. Never drifts ('the plant is honest'). OPEN 3.11-A: is the transmitter an I or dressing"
3.11-02,3.11,TRANSMITTER HALL,Breaker rows (keynote),DRESSING,ambient host,NO,,none,breaker handle 0.1; row 1.0,RW,on the cabinets / a wall board,M_Enamel; warning red on breakers permitted [AB s4],Bespoke,RB TRANSMITTER HALL keynote 'breaker rows',RI s12 places 'Breaker panel' in the patch bay: OPEN 3.16-B
3.11-03,3.11,TRANSMITTER HALL,"Breaker F's handle is newer than its row, the enamel around it re-fired (V2 ends here at circuit F)",LORE-AMBIENT,"foreshadow, HV",NO,never prompts,none,handle 0.1,RW,the breaker row,roughness/albedo difference only,Bespoke,"LL TRANSMITTER HALL [foreshadow, HV]; RB web 'V2 ends here at circuit F'",
3.11-04,3.11,TRANSMITTER HALL,Warning placards in period voice: DE-ENERGIZE BEFORE SERVICE; under raking light an older painted-over line ghosts through: IT STAYS ON,LORE-AMBIENT,never-stated,NO,never prompts,none,placard 0.3 x 0.2,RW,cabinet face / wall,M_Enamel with a ghost layer in normal + subtle albedo (reads only under raking light),Bespoke,LL TRANSMITTER HALL; RB keynote 'warning placards in period voice',Never explained by any system
3.11-05,3.11,TRANSMITTER HALL,"Dymo strip on the rack, not Vess's font: AUDIENCE FEED, DO NOT MONITOR, green",LORE-AMBIENT,"T3, T2",NO,never prompts,none,strip 0.1 x 0.012,RW,a rack rail,embossed tape in normal + green albedo,Bespoke,"LL TRANSMITTER HALL [T3, T2]",
3.11-06,3.11,TRANSMITTER HALL,"S4 LOG STATION · TRANSMITTER THRESHOLD (hosts the singular pre-signed page, dated tomorrow)",INTERACTABLE,station · EVT,YES,T3 · sign · EVT,GT 485-486,lectern per S5,REF,"(1450, -1140, 0) [Godot (14.5, 0.0, -11.4)]",Bespoke lectern family,Bespoke,Stations.csv S4; RI s17; PP D03 'the presigned page's site',
3.11-07,3.11,TRANSMITTER HALL,High-voltage cage (placarded; never a hazard to life per the one-source rule),DRESSING,,NO,RI s17: T3 · inspect,none,mesh cage 2.0 x 2.0 x 2.2,RW,+X/-Y corner proposed,Poly Haven metal_grate_rusty (verified 2026-09-04 per Phase 1 brief) as an alpha; Fab search 'wire mesh',CC0 / Fab Standard,RI s17,
3.11-08,3.11,TRANSMITTER HALL,"Storage cage: Craik's boxes -> CRAIK'S BOX (the finale script, Asset 4; cue-shorthand notebooks; beneath, the childhood radio scripts = the Dead Air item)",INTERACTABLE,pickup (read_id D02 in the code),YES,T3 · take,GT 689; flavour WB 1036,boxes 0.4 x 0.3 x 0.3; script 0.216 x 0.279 typed; dock body REF 0.45,RW / REF,"(1620, -1000, 50) [Godot (16.2, 0.5, -10.0)]",Bespoke boxes (Fab 'cardboard boxes'); script M_Paper 4K,Fab Standard / Bespoke,WB 1032-1039; RI s17; PP D02,D02 identity conflict (registry OPEN R-1). rooms_also: BENCH ROOM (asset rack after retrieval)
3.11-09,3.11,TRANSMITTER HALL,"REEL · 1977 · THE FINALE, UNFINISHED (the fire tape pickup)",INTERACTABLE,pickup,YES,take,"GT 145, 667",dock body REF 0.45; RW 2-inch reel box 0.38 sq x 0.08,REF / RW,"(1700, -1000, 45) [Godot (17.0, 0.45, -10.0)]",dock family; reel box M_TapeStock-adjacent card,Bespoke,WB 402-406; GT 145,Format (quad reel vs 16 mm) OPEN 3.11-B
3.11-10,3.11,TRANSMITTER HALL,Tool wall: BOLT CUTTERS and THE DRILL (the FORCE instruments; taking either logs itself),INTERACTABLE,pickups (RI-only),OPEN,RI s17: T4 · take,none,bolt cutters 0.75; drill 0.25 x 0.2,RW,-X wall proposed,"Fab search 'bolt cutters', 'hand drill vintage'; Poly Haven search 'tools' (verify id)",Fab Standard / CC0,RI s17; game master 'Locked shed' table,Not in the reference build; cap breach OPEN 3.11-A
3.11-11,3.11,TRANSMITTER HALL,Transformer catwalk (loose notebook pages for the thorough; noisy),DRESSING,traverse,NO,RI s17: T3 · traverse,none,grating 0.9 wide,RW,along the +X wall above the cabinets proposed,Megascans 'metal grate'; pages M_Paper,Fab Standard,RI s17,OPEN 3.11-C (no catwalk in the data)
3.11-12,3.11,TRANSMITTER HALL,"The dead room door (felt-faced; LOCKED · the hum stops at the seam; key QUIET ROOM; FORCE = the drill, seal never perfect again)",INTERACTABLE,door · locked,YES,T3 · inspect; T4 · operate,Doors.csv TRANSMITTER HALL-DEAD ROOM,door 1.2 wide x 2.2; felt face 0.02,REF / RW,"gap (1900, 0) in the hall's +X wall",Door leaf with felt face under the M_Wool family (dead-room gray [AB s3]),Bespoke,Doors.csv; RI s17; LAWS 11,
3.11-13,3.11,TRANSMITTER HALL,Pilot lamps (one warm per cabinet) + phosphor + the hall's own fixtures,DRESSING,practical,NO,,none,lamp 0.044 dia (REF),REF,on the cabinets,emissive lamps with true bulbs; volumetrics motivated here only,Bespoke,RB 'Phosphor and pilot lamps'; LB UE5 TECHNICALS 'the transmitter hall only',EV OPEN
3.11-14,3.11,TRANSMITTER HALL,Contactor cabinet (bed: contactor clacks); mains as organ note,DRESSING,,NO,,none,0.3 x 0.2 x 0.4,RW,wall,Fab search 'electrical box',Fab Standard,RB TRANSMITTER HALL bed,
3.11-15,3.11,TRANSMITTER HALL,"Surfaces: 8.5 x 13 cathedral; steel plate floor, riveted panels",SURFACE,,NO,,none,110 m2 floor,REF (Rooms.csv),,Megascans steel plate / industrial concrete (MI_TransmitterHall_Floor); riveted painted metal panel (MI_TransmitterHall_Wall),Fab Standard,Rooms.csv; FAB-IMPORT starter,
3.12-01,3.12,DEAD ROOM,"THE RADIO (radio rack; the Dead Air instrument: re-patch in Phase 1, sign-off in Phase 3; its dial the room's only specular object)",INTERACTABLE,hero,YES,T4 · inspect; T5 · operate,none in the reference (not built),"RW console radio 0.6 x 0.3 x 0.4, or a 19-inch rack 0.6 x 0.6 x 1.8 - OPEN 3.12-A",RW,against the -Y felt wall proposed,Poly Haven vintage_radio_transceiver (verified 2026-09-04 per Phase 1 brief) as the donor; dial glass M_Practical,CC0 / Bespoke,RB DEAD ROOM keynote 'the RADIO'; RI s18; AB s7 DEAD ROOM,The room's one I
3.12-02,3.12,DEAD ROOM,The radio's dial is fixed at 58 with a dot of nail polish,LORE-AMBIENT,HC,NO,never prompts,none,dot 0.004,RW,the dial,albedo dot + slight gloss,Bespoke,LL DEAD ROOM [HC],
3.12-03,3.12,DEAD ROOM,Wedge foam walls / felt lining (near-zero bounce; the hum stops at the seam),SURFACE,acoustic lining,NO,RI s18: T4 · inspect,none,REF felt panels 0.6 x 2.0 x 0.05 in runs of 3.6 / 4.4 / 4.4 m; RW anechoic wedge 0.3 base x 0.6 deep,REF / RW,"(1900, 480, 0) [Godot (19.0, 0.0, 4.8)]","Fab search 'acoustic foam'; felt under the M_Wool family, dead-room gray [AB s3]; mattest room in the game",Fab Standard / Bespoke,prop_kit.gd felt_run 526-534; WB 1257-1262; RB DEAD ROOM; LB UE5 'DEAD ROOM one flat toplight',"Runs at Godot (19.0, 4.8) yaw pi, (17.2, 2.5) yaw pi/2, (20.8, 2.5) yaw -pi/2"
3.12-04,3.12,DEAD ROOM,"One foam wedge cut out and re-glued inverted, the seam careful",LORE-AMBIENT,HH,NO,never prompts,none,one wedge,RW,a wall panel at eye height,one instance flipped; glue seam in normal,Bespoke,LL DEAD ROOM [HH],
3.12-05,3.12,DEAD ROOM,The felt door (inside face; closing it from inside is stepping outside the format),INTERACTABLE,door,YES,T4 · operate,Doors.csv (see TRANSMITTER HALL row),1.2 x 2.2,REF,"gap (1900, 0)",see TRANSMITTER HALL,Bespoke,RI s18; RB keynote 'the felt door'; LAWS 11 'he holds at its felt door',
3.12-06,3.12,DEAD ROOM,"Inside the felt door at knee height, the nap worn through in one hand-sized place, from the inside",LORE-AMBIENT,T7 adjacent,NO,never prompts,none,patch 0.15 at Z ~50 uu,RW,the door's inner face,roughness/normal + albedo wear,Bespoke,LL DEAD ROOM [T7 adjacent],'worse the longer you look'
3.12-07,3.12,DEAD ROOM,"Patch panel (the three-step re-route, left looking untouched)",INTERACTABLE,operate (RI-only),OPEN,RI s18: T5 · operate,none,19-inch jackfield 0.48 x 0.09,RW,in the radio rack,Bespoke rack unit,Bespoke,RI s18,OPEN 3.12-C (cap; may be part of THE RADIO)
3.12-08,3.12,DEAD ROOM,Music stand (holds the childhood script beside the finale script),DRESSING,RI: use,OPEN,RI s18: T5 · use,none,1.2 high,RW,centre,Fab search 'music stand',Fab Standard,RI s18,OPEN 3.12-C
3.12-09,3.12,DEAD ROOM,Craik's chair (worn where a boy's heels would kick),DRESSING,biography,NO,RI s18: T4 · inspect,none,wooden chair 0.45 x 0.45 x 0.85,RW,facing the radio,Poly Haven search 'wooden chair' (verify id); heel wear in maps,CC0,RI s18,
3.12-10,3.12,DEAD ROOM,Single flat toplight (light goes here to die too),DRESSING,practical,NO,,none,diffuser 0.6 x 0.6,RW,"ceiling centre (1900, 250, 295)","Bespoke flat panel, M_Practical",Bespoke,RB DEAD ROOM; LB UE5 TECHNICALS,AB s8 says 'Dead room: no key at all' - OPEN 3.12-B
3.12-11,3.12,DEAD ROOM,Surfaces: 4 x 5; palette entirely fog and slate; mattest room,SURFACE,,NO,,none,20 m2 floor,REF (Rooms.csv),,"Felt/carpet floor under the M_Wool family; fog #666B6B, slate #5C5C61 [AB s4]",Bespoke,Rooms.csv; AB s7 DEAD ROOM,Drift forbidden [RB]
3.13-01,3.13,FIRE CORRIDOR,"Sealed door, library side (SEALED · reopens for the anniversary, Tape 4)",INTERACTABLE,door · locked,YES,T4 · operate,Doors.csv TAPE LIBRARY-FIRE CORRIDOR,gap 1.4; leaf 2.2,REF,"gap (-600, -1600) in the library's -X wall",Fab search 'steel door industrial'; seal tape / plastic in decals,Fab Standard,Doors.csv; RI s9,
3.13-02,3.13,FIRE CORRIDOR,THE FIRE TAPE DOCK (RB keynote) - the reference builds the 1977 DOCK in the BENCH ROOM,INTERACTABLE,hero (per RB),OPEN,,GT 665 (see BENCH ROOM),dock body REF 0.45,REF,none here in the data,dock family,Bespoke,RB FIRE CORRIDOR keynote 'the FIRE TAPE DOCK'; WB 392-396 (bench),OPEN 3.9-B / 3.13-A: which room holds it
3.13-03,3.13,FIRE CORRIDOR,"Char shadowline at knee height under two coats of paint (does not drift, and players will swear it does)",LORE-AMBIENT,HF,NO,never prompts,none,band at Z ~50 uu along both walls,RW,both long walls,Megascans 'soot/burn edges' decal (starter set) under two paint layers in albedo; PLAN R.2,Fab Standard,LL FIRE CORRIDOR [HF]; RB keynote 'char shadowline at knee height',
3.13-04,3.13,FIRE CORRIDOR,Hydrant post nobody repainted; the repaint stops at a masking-tape line and the tape was never pulled,DRESSING,keynote · ambient host,NO,,none,RW interior standpipe / hose-valve post ~1.0 high x 0.15 - OPEN 3.13-C what an indoor 'hydrant post' is,RW,mid-corridor -Y wall proposed,Fab search 'standpipe' / 'fire hydrant'; masking tape decal,Fab Standard,RB FIRE CORRIDOR keynote; LL FIRE CORRIDOR [HF],
3.13-05,3.13,FIRE CORRIDOR,"Masking-tape line, never pulled",LORE-AMBIENT,HF (work interrupted),NO,never prompts,none,tape 0.025 wide,RW,the hydrant post,decal,Bespoke,LL FIRE CORRIDOR [HF],
3.13-06,3.13,FIRE CORRIDOR,Door hinge on the dock side replaced with one brass screw among steel,LORE-AMBIENT,T4,NO,never prompts,none,screw 0.005 (maps),RW,"the STAGE HALL door hinge (-1200, -1750)? - OPEN 3.13-B which door is 'the dock side'",metallic/albedo dot in maps,Bespoke,LL FIRE CORRIDOR [T4],
3.13-07,3.13,FIRE CORRIDOR,Char under plastic sheeting (the 1977 wound preserved like a relic; sheeting breathes with drafts),DRESSING,,NO,RI s9: T4 · inspect,none,sheeting 2 x 3,RW,a wall bay,Fab search 'plastic sheet'; cloth sim or vertex animation for the breathing,Fab Standard,RI s9,
3.13-08,3.13,FIRE CORRIDOR,"Melted fixtures, scorched frames; one frame's photo survived: the 1974 live audience, front row circled in someone's hand",DRESSING,lore host (RI-only),NO,RI s9: T4 · inspect,none,frame 0.3 x 0.4; melted fixture 0.3,RW,wall,Bespoke melted fixture (sculpt); photo M_Paper,Bespoke,RI s9,OPEN 3.13-D tier (not in LL)
3.13-09,3.13,FIRE CORRIDOR,One honest bulb (deliberately underlit),DRESSING,practical,NO,,none,bulb 0.06 in a cage 0.15,RW,"ceiling, off-centre","Bespoke caged bulb, M_Practical",Bespoke,RB FIRE CORRIDOR 'one honest bulb',EV OPEN
3.13-10,3.13,FIRE CORRIDOR,Surfaces: 7.5 x 3; two coats of paint over char; 'this hall eats sound politely',SURFACE,,NO,,none,22.5 m2 floor,REF (Rooms.csv),,Megascans painted plaster aged (MI_FireCorridor_Wall) with soot decals; concrete floor,Fab Standard,Rooms.csv; RB FIRE CORRIDOR,"The elbow (T4 N EVT, once ever) is an event, not a prop; its name appears in no code file [LAWS 3]"
3.14-01,3.14,STAGE HALL,Window opening to STUDIO A (the sightline tease of the stage),SURFACE,opening,NO,,Doors.csv STAGE HALL-STUDIO A 'window',gap 1.6; sill 0.9 + header 1.1 (greybox),REF,"gap (-1200, -2400)",glass or open frame per port,-,Doors.csv; RBR 0.1 door slabs; RB keynote 'sightline tease of the stage',
3.14-02,3.14,STAGE HALL,Sandbag row (drift: sandbag count),DRESSING,drift · ambient host,NO,,none,sandbag 0.4 x 0.25 x 0.1 (~12 kg),RW,along the -X wall proposed,Fab search 'sandbag'; canvas under the M_Wool family,Fab Standard,RB STAGE HALL keynote + drift,
3.14-03,3.14,STAGE HALL,Sandbag tags carry rig dates; one sandbag is dated the spring AFTER the fire,LORE-AMBIENT,T4,NO,never prompts,none,tag 0.05 x 0.03,RW,the row,M_Paper tags,Bespoke,LL STAGE HALL [T4],
3.14-04,3.14,STAGE HALL,Cue light (dark),DRESSING,practical (off),NO,,none,box 0.1 x 0.1 x 0.15,RW,by the studio door,"Bespoke, M_Practical lens",Bespoke,RB STAGE HALL keynote 'cue light (dark)',
3.14-05,3.14,STAGE HALL,"The cue light's bulb is missing, but its socket is clean",LORE-AMBIENT,HP,NO,never prompts,none,socket 0.03,RW,the cue light,clean brass via roughness,Bespoke,LL STAGE HALL [HP],
3.14-06,3.14,STAGE HALL,"Chalk arrow on the floor, mostly mopped away, pointing toward the little door's side of the stage",LORE-AMBIENT,T7 (missable),NO,never prompts,none,arrow 0.4,RW,floor near the window,"decal, faint",Bespoke,LL STAGE HALL [T7],
3.14-07,3.14,STAGE HALL,Ramp up to the catwalk grid (reference) / ladders (RI),DRESSING,structure,NO,RI s14: T3 · operate (ladders),none,REF ramp 1.4 x 0.12 x 5.2 at rot x -0.68; landing 1.4 x 2.4; RW ladder 0.5 wide,REF / RW,"(-1200, -2200, 158) [Godot (-12.0, 1.575, -22.0)]",Megascans 'metal grate'; steel,Fab Standard,WB 517-534; RI s14,OPEN 3.14-A ramp vs ladders
3.14-08,3.14,STAGE HALL,"Wall clock (reference (-15.5, 2.5, -24.6))",DRESSING,event-driven,NO,,none,0.3 dia,RW,"(-1550, -2460, 250) [Godot (-15.5, 2.5, -24.6)]",Fab search 'wall clock vintage',Fab Standard,WB 538,Sits on the STUDIO A side of the window wall by Rooms.csv: OPEN 3.14-B
3.14-09,3.14,STAGE HALL,"Borrowed studio spill through the door crack (no fixture of its own); bed: studio air pressure, grid creak above",DRESSING,lighting note,NO,,none,-,OPEN,,no practical; light is borrowed,-,RB STAGE HALL 'Borrowed studio spill',I = 0 by the bible; no prompt in this room
3.14-10,3.14,STAGE HALL,Surfaces: 3 x 6.5; stage floorboards dark,SURFACE,,NO,,none,19.5 m2 floor,REF (Rooms.csv),,Megascans stage floorboards dark (MI_StageHall_Floor); black painted plaster,Fab Standard,Rooms.csv; FAB-IMPORT starter,
3.15-01,3.15,STUDIO A,"THE LITTLE DOOR in the painted house (Cue 3 / Cue 5: close the house, on camera, by hand; ending 4's destination)",INTERACTABLE,hero · door,YES,T5 · operate,"GT 669-670, 435, 458",leaf 0.8 x 1.2 x 0.09 (REF); collision 0.8 x 1.2 x 0.08,REF,"(-1260, -3335, 0) [Godot (-12.6, 0.0, -33.35)]","Bespoke painted plywood leaf, three wear states [AB s3]; 'lit like a prop that knows it is one' [AB s7]",Bespoke,WB 462-474; GT 669-670; RB keynote 'the little door under the set'; RI s13; AF THE LAST CROSSING,
3.15-02,3.15,STUDIO A,The little door's floor shows a scuffed swing arc through wax that is otherwise unbroken,LORE-AMBIENT,T7,NO,never prompts,none,arc radius 0.8,RW,floor at the little door,roughness/normal arc,Bespoke,LL STUDIO A [T7],
